"table";"forder";"field";"label[FR]";"ftype";"fcount";"target";"compulsory";"browsable";"multivalued";"published";"queryable";"translatable";"options[checkbox]";"options[readonly]"
"DTARIF";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Tarifs";;1;;1;1;;0;
"DTARIF";4;"Nom";"Nom";"XShortTextDef";80;;;1;;1;1;1;;
"DTARIF";5;"TarifRef";"Tarif de référence";"XBoolDef";;;;1;;;;;;
"DTARIF";6;"TarifStandard";"Tarif standard";"XRealDef";10;;;1;;;;;;
"DTARIF";7;"TarifMin";"Tarif minimum";"XRealDef";10;;;1;;;;;;
"DTARIF";8;"TarifMax";"Tarif maximum";"XRealDef";10;;;1;;;;;;
"DTARIF";9;"TarifMode";"Mode de tarification";"XLinkDef";;"tzrprefix_LS_TarifMode";;1;;;;;0;
"DTARIF";10;"TarifDevise";"Devise";"XLinkDef";;"tzrprefix_LS_Devises";;1;;;;;0;
"DTARIF";11;"TarifTVA";"TVA (Libellé)";"XShortTextDef";255;;;1;;;;;;
"DTARIF";12;"att_TarifTVA_taux";"Taux de TVA";"XRealDef";5;;;1;;;;;;
"DTARIF";13;"TarifTranche";"Tranche de revenus";"XRealDef";10;;;;;;;;;
"DTARIF";14;"DetailClient";"Clientèle concernée";"XLinkDef";;"tzrprefix_DCLIENT";;;;;;;0;
"DTARIF";15;"DetailPrestation";"Prestation concernée";"XLinkDef";;"tzrprefix_DPRESTA";;;;;;;0;
"DTARIF";16;"DetailPeriode";"Période d'application des tarifs";"XLinkDef";;"tzrprefix_DPERIODE";;;;;;;0;
"DTARIF";17;"MontantPourcent";"Montant ou pourcentage";"XLinkDef";;"tzrprefix_LS_MontantPourcent";;;;;;;0;
